,POD10_Combi,POD2_Combi,POD5_Combi,yerrCombi10,yerrCombi2,yerrCombi5,POD10_SSEWMA,POD2_SSEWMA,POD5_SSEWMA,yerrSSEWMA10,yerrSSEWMA2,yerrSSEWMA5,POD10_Q,POD2_Q,POD5_Q,yerrQ10,yerrQ2,yerrQ5,POD10_CP,POD2_CP,POD5_CP,yerrCP10,yerrCP2,yerrCP5,Shift size
0,0.37,0.13,0.23,0.1892592888077095,0.13183094629107384,0.16496634323400636,0.01,0.0,0.0,0.0390035075345795,0.0,0.0,0.02,0.01,0.01,0.05488,0.0390035075345795,0.0390035075345795,0.56,0.3,0.4,0.19458368276913662,0.17963696724226894,0.19203999583420114,0.5
1,0.67,0.22,0.49,0.18432338538557716,0.16238455098931057,0.19596079607921582,0.13,0.01,0.06,0.13183094629107384,0.0390035075345795,0.09309484196237726,0.01,0.0,0.0,0.0390035075345795,0.0,0.0,0.49,0.29,0.35,0.19596079607921582,0.17787472445516253,0.18697208347772132,1.0
2,0.83,0.35,0.65,0.14724805737258473,0.18697208347772132,0.18697208347772132,0.26,0.02,0.12,0.1719446236437767,0.05488,0.12738492218469186,0.04,0.01,0.03,0.07681599833368045,0.0390035075345795,0.06687019066818936,0.43,0.22,0.29,0.1940696946975493,0.16238455098931057,0.17787472445516253,1.5
3,0.96,0.4,0.84,0.0768159983336805,0.19203999583420114,0.14370957379381516,0.61,0.03,0.2,0.19119797488467288,0.06687019066818936,0.1568,0.07,0.03,0.05,0.1000176304458369,0.06687019066818936,0.08543441929339719,0.49,0.2,0.27,0.19596079607921582,0.1568,0.1740321073825172,2.0
4,1.0,0.6,0.94,0.0,0.19203999583420114,0.0930948419623773,0.85,0.1,0.51,0.13997199719943987,0.11760000000000001,0.19596079607921582,0.12,0.1,0.1,0.12738492218469186,0.11760000000000001,0.11760000000000001,0.51,0.25,0.39,0.19596079607921582,0.16974097914174996,0.19119797488467288,2.5
5,1.0,0.69,0.98,0.0,0.18129735133200375,0.05488000000000002,0.98,0.09,0.83,0.05488000000000002,0.11218325008663281,0.14724805737258473,0.25,0.2,0.23,0.16974097914174996,0.1568,0.16496634323400636,0.71,0.32,0.44,0.17787472445516256,0.1828586514223486,0.19458368276913665,3.0
6,1.0,0.74,0.98,0.0,0.1719446236437767,0.05488000000000002,1.0,0.29,0.94,0.0,0.17787472445516253,0.0930948419623773,0.6,0.55,0.6,0.19203999583420114,0.1950175376728975,0.19203999583420114,0.67,0.25,0.34,0.18432338538557716,0.16974097914174996,0.18569383834688752,3.5
7,1.0,0.87,1.0,0.0,0.13183094629107384,0.0,1.0,0.4,0.99,0.0,0.19203999583420114,0.03900350753457952,0.64,0.57,0.63,0.18816,0.1940696946975493,0.1892592888077095,0.85,0.22,0.44,0.13997199719943987,0.16238455098931057,0.19458368276913665,4.0
8,1.0,0.87,1.0,0.0,0.13183094629107384,0.0,1.0,0.58,1.0,0.0,0.1934749348106881,0.0,0.81,0.78,0.81,0.15378195472811493,0.16238455098931054,0.15378195472811493,0.92,0.27,0.56,0.10634693413540418,0.1740321073825172,0.19458368276913662,4.5
9,1.0,0.91,1.0,0.0,0.11218325008663278,0.0,1.0,0.71,1.0,0.0,0.17787472445516256,0.0,0.92,0.9,0.92,0.10634693413540418,0.1176,0.10634693413540418,0.94,0.18,0.55,0.0930948419623773,0.1506014820644206,0.1950175376728975,5.0
