,POD10_Combi,POD2_Combi,POD5_Combi,yerrCombi10,yerrCombi2,yerrCombi5,POD10_SSEWMA,POD2_SSEWMA,POD5_SSEWMA,yerrSSEWMA10,yerrSSEWMA2,yerrSSEWMA5,POD10_Q,POD2_Q,POD5_Q,yerrQ10,yerrQ2,yerrQ5,POD10_CP,POD2_CP,POD5_CP,yerrCP10,yerrCP2,yerrCP5,Shift size
0,0.04,0.02,0.03,0.07681599833368045,0.05488,0.06687019066818936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.01,0.13183094629107384,0.0,0.0390035075345795,0.5
1,0.1,0.01,0.07,0.11760000000000001,0.0390035075345795,0.1000176304458369,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0390035075345795,0.0,0.0,0.19,0.01,0.07,0.15378195472811496,0.0390035075345795,0.1000176304458369,1.0
2,0.05,0.03,0.04,0.08543441929339719,0.06687019066818936,0.07681599833368045,0.01,0.0,0.0,0.0390035075345795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.06,0.1596648289386238,0.0,0.09309484196237726,1.5
3,0.1,0.02,0.05,0.11760000000000001,0.05488,0.08543441929339719,0.03,0.0,0.01,0.06687019066818936,0.0,0.0390035075345795,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.03,0.11218325008663281,0.0390035075345795,0.06687019066818936,2.0
4,0.09,0.05,0.07,0.11218325008663281,0.08543441929339719,0.1000176304458369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.01,0.05,0.1506014820644206,0.0390035075345795,0.08543441929339719,2.5
5,0.11,0.06,0.07,0.1226527847217502,0.09309484196237726,0.1000176304458369,0.01,0.0,0.0,0.0390035075345795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.01,0.04,0.1596648289386238,0.0390035075345795,0.07681599833368045,3.0
6,0.08,0.06,0.07,0.1063469341354042,0.09309484196237726,0.1000176304458369,0.01,0.0,0.01,0.0390035075345795,0.0,0.0390035075345795,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.09,0.16496634323400636,0.0,0.11218325008663281,3.5
7,0.12,0.06,0.09,0.12738492218469186,0.09309484196237726,0.11218325008663281,0.01,0.01,0.01,0.0390035075345795,0.0390035075345795,0.0390035075345795,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.07,0.15378195472811496,0.0,0.1000176304458369,4.0
8,0.08,0.04,0.06,0.1063469341354042,0.07681599833368045,0.09309484196237726,0.01,0.01,0.01,0.0390035075345795,0.0390035075345795,0.0390035075345795,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.06,0.18816,0.0,0.09309484196237726,4.5
9,0.12,0.06,0.09,0.12738492218469186,0.09309484196237726,0.11218325008663281,0.01,0.0,0.01,0.0390035075345795,0.0,0.0390035075345795,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.01,0.12,0.18816,0.0390035075345795,0.12738492218469186,5.0
