,POD10_Combi,POD2_Combi,POD5_Combi,yerrCombi10,yerrCombi2,yerrCombi5,POD10_SSEWMA,POD2_SSEWMA,POD5_SSEWMA,yerrSSEWMA10,yerrSSEWMA2,yerrSSEWMA5,POD10_Q,POD2_Q,POD5_Q,yerrQ10,yerrQ2,yerrQ5,POD10_CP,POD2_CP,POD5_CP,yerrCP10,yerrCP2,yerrCP5,Shift size
0,0.25,0.09,0.16,0.16974097914174996,0.11218325008663281,0.14370957379381513,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0390035075345795,0.0390035075345795,0.0390035075345795,0.33,0.11,0.23,0.18432338538557716,0.1226527847217502,0.16496634323400636,0.5
1,0.53,0.15,0.37,0.19564688190717477,0.13997199719943987,0.1892592888077095,0.03,0.0,0.03,0.06687019066818936,0.0,0.06687019066818936,0.03,0.0,0.02,0.06687019066818936,0.0,0.05488,0.3,0.17,0.22,0.17963696724226894,0.1472480573725847,0.16238455098931057,1.0
2,0.73,0.25,0.53,0.1740321073825172,0.16974097914174996,0.19564688190717477,0.1,0.0,0.04,0.11760000000000001,0.0,0.07681599833368045,0.01,0.0,0.01,0.0390035075345795,0.0,0.0390035075345795,0.39,0.17,0.23,0.19119797488467288,0.1472480573725847,0.16496634323400636,1.5
3,0.87,0.24,0.68,0.13183094629107384,0.16741658699185097,0.1828586514223486,0.27,0.01,0.15,0.1740321073825172,0.0390035075345795,0.13997199719943987,0.02,0.01,0.02,0.05488,0.0390035075345795,0.05488,0.33,0.15,0.25,0.18432338538557716,0.13997199719943987,0.16974097914174996,2.0
4,0.96,0.29,0.81,0.0768159983336805,0.17787472445516253,0.15378195472811493,0.52,0.03,0.26,0.19584313722977376,0.06687019066818936,0.1719446236437767,0.04,0.03,0.04,0.07681599833368045,0.06687019066818936,0.07681599833368045,0.47,0.13,0.28,0.19564688190717477,0.13183094629107384,0.17600756347384622,2.5
5,0.94,0.51,0.9,0.0930948419623773,0.19596079607921582,0.1176,0.77,0.09,0.59,0.16496634323400636,0.11218325008663281,0.19279865559697246,0.11,0.11,0.11,0.1226527847217502,0.1226527847217502,0.1226527847217502,0.55,0.14,0.25,0.1950175376728975,0.13601891633151617,0.16974097914174996,3.0
6,0.98,0.6,0.93,0.05488000000000002,0.19203999583420114,0.10001763044583686,0.91,0.12,0.75,0.11218325008663278,0.12738492218469186,0.16974097914174996,0.34,0.31,0.34,0.18569383834688752,0.18129735133200375,0.18569383834688752,0.63,0.17,0.32,0.1892592888077095,0.1472480573725847,0.1828586514223486,3.5
7,0.99,0.66,0.97,0.03900350753457952,0.18569383834688752,0.06687019066818939,0.98,0.3,0.91,0.05488000000000002,0.17963696724226894,0.11218325008663278,0.39,0.39,0.39,0.19119797488467288,0.19119797488467288,0.19119797488467288,0.72,0.15,0.39,0.17600756347384622,0.13997199719943987,0.19119797488467288,4.0
8,1.0,0.79,0.98,0.0,0.1596648289386238,0.05488000000000002,0.99,0.35,0.97,0.03900350753457952,0.18697208347772132,0.06687019066818939,0.59,0.58,0.59,0.19279865559697246,0.1934749348106881,0.19279865559697246,0.85,0.17,0.43,0.13997199719943987,0.1472480573725847,0.1940696946975493,4.5
9,0.98,0.73,0.94,0.05488000000000002,0.1740321073825172,0.0930948419623773,1.0,0.46,0.99,0.0,0.19537179325583312,0.03900350753457952,0.76,0.75,0.76,0.16741658699185097,0.16974097914174996,0.16741658699185097,0.88,0.09,0.49,0.12738492218469186,0.11218325008663281,0.19596079607921582,5.0
